experiment_id,epoch,step,tokens_seen,estimated_chars_seen,train_loss,val_loss,test_loss,train_nats_per_char,val_nats_per_char,train_bits_per_char,val_bits_per_char,train_val_gap,best_val_loss_so_far,best_val_bits_per_char_so_far,val_loss_minus_best_so_far,val_bits_minus_best_so_far,lr,grad_norm,elapsed_sec,tokens_per_sec,tokens_per_sec_after_warmup,parameter_count,compute_proxy_param_tokens,estimated_train_flops
E03,4.0,392.0,3211264.0,5502830.025929758,5.42376,5.54215,5.54215,3.1651214285320766,3.2356483900132718,4.566304988754618,4.668053886332506,0.11839000000000066,5.54215,4.668053886332506,0.0,0.0,0.0004,0.44538,9.46092,339424.0,339424.0,2978688.0,9565353541632.0,57392121249792.0
E03,5.0,490.0,4014080.0,6878537.532412198,5.28709,5.447,5.447,3.0853654759018942,3.1800973954877243,4.451241471413679,4.587910742014048,0.15991,5.447,4.587910742014048,0.0,0.0,0.0004,0.49924,11.7947,340329.0,340329.0,2978688.0,11956691927040.0,71740151562240.0
E04,0.0,0.0,0.0,0.0,7.63934,7.63799,7.63799,4.988736239193438,4.985093572826808,7.19722503258743,7.191969775884681,-0.0013499999999995183,7.63799,7.191969775884681,0.0,0.0,0.0004,,0.0,0.0,0.0,2570112.0,0.0,0.0
E04,1.0,219.0,897024.0,1373628.709877016,5.6055,5.63917,5.63917,3.6605729014285027,3.6805219858991376,5.281090371703425,5.309870816939485,0.03366999999999987,5.63917,5.309870816939485,0.0,0.0,0.0004,0.570625,4.88444,183649.0,183649.0,2570112.0,2305452146688.0,13832712880128.0
E04,2.0,438.0,1794048.0,2747257.419754032,5.06876,5.13882,5.13882,3.310064311808891,3.353958116456536,4.775413367670226,4.838738741961133,0.07005999999999979,5.13882,4.838738741961133,0.0,0.0,0.0004,0.635055,9.16889,195667.0,195667.0,2570112.0,4610904293376.0,27665425760256.0
E04,3.0,500.0,2048000.0,3136138.6070251507,5.00147,5.09443,5.09443,3.266121764215077,3.324986056569343,4.712017672172604,4.796940894837542,0.09295999999999971,5.09443,4.796940894837542,0.0,0.0,0.0004,0.740576,10.4639,195720.0,195720.0,2570112.0,5263589376000.0,31581536256000.0
E04,3.0,657.0,2691072.0,4120886.129631048,4.87706,4.99146,4.99146,3.184878008142163,3.2577805371599204,4.594807708183018,4.699983825265201,0.11439999999999984,4.99146,4.699983825265201,0.0,0.0,0.0004,0.762398,13.6882,196597.0,196597.0,2570112.0,6916356440064.0,41498138640384.0
E04,4.0,876.0,3588096.0,5494514.839508064,4.74311,4.88679,4.88679,3.0974043233421718,3.189465477272728,4.468609856913787,4.601426027147915,0.1436800000000007,4.88679,4.601426027147915,0.0,0.0,0.0004,0.809432,18.3345,195701.0,195701.0,2570112.0,9221808586752.0,55330851520512.0
E04,5.0,1000.0,4096000.0,6272277.214050301,4.68711,4.84438,4.84438,3.06083451110776,3.161785705706702,4.41585077015696,4.5614925579766705,0.15727000000000046,4.84438,4.5614925579766705,0.0,0.0,0.0004,0.7401,21.0215,194848.0,194848.0,2570112.0,10527178752000.0,63163072512000.0
E04,5.0,1095.0,4485120.0,6868143.54938508,4.6316,4.81135,4.81135,3.024584684730399,3.1402279868944922,4.363553325409256,4.530391343953417,0.1797500000000003,4.81135,4.530391343953417,0.0,0.0,0.0004,0.883797,22.9992,195012.0,195012.0,2570112.0,11527260733440.0,69163564400640.0
